1999-02-01;PETR4.SA;13:02:43,8210000;11:02:43,8210000;139;10;1390
1999-02-02;PETR4.SA;13:02:32,6150000;11:02:32,6150000;150,99;150;22648,5
1999-02-03;PETR4.SA;14:04:27,5360000;12:04:27,5360000;156,01;100;15601
1999-02-04;PETR4.SA;14:13:20,6710000;12:13:20,6710000;155;500;77500
1999-02-05;PETR4.SA;13:02:54,1070000;11:02:54,1070000;154;40;6160
1999-02-08;PETR4.SA;13:04:48,7590000;11:04:48,7590000;144;50;7200
1999-02-09;PETR4.SA;13:03:39,1020000;11:03:39,1020000;159;70;11130
1999-02-10;PETR4.SA;13:05:23,6970000;11:05:23,6970000;152;20;3040
1999-02-11;PETR4.SA;13:01:45,5360000;11:01:45,5360000;157,01;300;47103
1999-02-12;PETR4.SA;13:10:45,7350000;11:10:45,7350000;153,11;100;15311
1999-02-17;PETR4.SA;15:30:03,1780000;13:30:03,1780000;152;100;15200
1999-02-18;PETR4.SA;13:19:44,4990000;11:19:44,4990000;154;100;15400
1999-02-19;PETR4.SA;13:07:06,0480000;11:07:06,0480000;153;400;61200
1999-02-22;PETR4.SA;13:33:31,6840000;10:33:31,6840000;161;100;16100
1999-02-23;PETR4.SA;13:20:13,7730000;10:20:13,7730000;173,9;200;34780
1999-02-24;PETR4.SA;13:21:06,7780000;10:21:06,7780000;168;20;3360
1999-02-25;PETR4.SA;13:36:16,9080000;10:36:16,9080000;163;30;4890
1999-02-26;PETR4.SA;13:49:28,4890000;10:49:28,4890000;155;2;310
1999-03-01;PETR4.SA;13:24:42,8170000;10:24:42,8170000;163;10;1630
1999-03-02;PETR4.SA;13:36:49,5240000;10:36:49,5240000;170;100;17000
1999-03-03;PETR4.SA;13:25:58,7640000;10:25:58,7640000;169;20;3380
1999-03-04;PETR4.SA;13:22:26,0680000;10:22:26,0680000;168;100;16800
1999-03-05;PETR4.SA;13:01:46,9890000;10:01:46,9890000;177;100;17700
1999-03-08;PETR4.SA;13:40:36,6130000;10:40:36,6130000;181,12;10;1811,2
1999-03-09;PETR4.SA;13:10:18,8480000;10:10:18,8480000;189;10;1890
1999-03-10;PETR4.SA;13:23:43,4640000;10:23:43,4640000;190;140;26600
1999-03-11;PETR4.SA;13:20:15,1920000;10:20:15,1920000;200;10;2000
1999-03-12;PETR4.SA;13:26:55,1690000;10:26:55,1690000;204;20;4080
1999-03-15;PETR4.SA;14:07:27,3860000;11:07:27,3860000;203;20;4060
1999-03-16;PETR4.SA;13:07:16,1280000;10:07:16,1280000;219,99;220;48397,8
1999-03-17;PETR4.SA;13:32:36,0820000;10:32:36,0820000;219;30;6570
1999-03-18;PETR4.SA;13:24:41,1640000;10:24:41,1640000;216,99;50;10849,5
1999-03-19;PETR4.SA;13:16:07,9710000;10:16:07,9710000;223;50;11150
1999-03-22;PETR4.SA;13:46:40,8740000;10:46:40,8740000;219;100;21900
1999-03-23;PETR4.SA;13:20:16,2090000;10:20:16,2090000;214;10;2140
1999-03-24;PETR4.SA;13:22:37,5020000;10:22:37,5020000;212;50;10600
1999-03-25;PETR4.SA;13:12:04,4110000;10:12:04,4110000;206,1;750;154575
1999-03-26;PETR4.SA;13:09:54,3010000;10:09:54,3010000;220,01;200;44002
1999-03-29;PETR4.SA;13:35:25,4040000;10:35:25,4040000;222;1000;222000
1999-03-30;PETR4.SA;13:05:46,0610000;10:05:46,0610000;227;10;2270
1999-03-31;PETR4.SA;13:18:14,5350000;10:18:14,5350000;239;10;2390
1999-04-05;PETR4.SA;13:08:07,0130000;10:08:07,0130000;235;2;470
1999-04-06;PETR4.SA;13:19:42,1660000;10:19:42,1660000;258;10;2580
1999-04-07;PETR4.SA;13:22:09,7200000;10:22:09,7200000;258,01;2;516,02
1999-04-08;PETR4.SA;13:10:02,7380000;10:10:02,7380000;275;50;13750
1999-04-09;PETR4.SA;13:32:09,4090000;10:32:09,4090000;276;40;11040
1999-04-12;PETR4.SA;13:30:15,0800000;10:30:15,0800000;256,11;100;25611
1999-04-13;PETR4.SA;13:25:51,3670000;10:25:51,3670000;272;10;2720
1999-04-14;PETR4.SA;13:13:38,0440000;10:13:38,0440000;263,5;100;26350
1999-04-15;PETR4.SA;13:14:56,7450000;10:14:56,7450000;264,010000000001;20;5280,20000000001
1999-04-16;PETR4.SA;13:22:22,6410000;10:22:22,6410000;266;80;21280
1999-04-19;PETR4.SA;13:11:53,8970000;10:11:53,8970000;271;30;8130
1999-04-20;PETR4.SA;13:09:16,0590000;10:09:16,0590000;260;50;13000
1999-04-22;PETR4.SA;13:14:22,9720000;10:14:22,9720000;260;30;7800
1999-04-23;PETR4.SA;13:20:40,9490000;10:20:40,9490000;253;10;2530
1999-04-26;PETR4.SA;13:05:57,4740000;10:05:57,4740000;246;10;2460
1999-04-27;PETR4.SA;13:15:51,1190000;10:15:51,1190000;240,1;10;2401
1999-04-28;PETR4.SA;13:05:43,8400000;10:05:43,8400000;240;150;36000
1999-04-29;PETR4.SA;13:14:31,7480000;10:14:31,7480000;246;300;73800
1999-04-30;PETR4.SA;13:03:13,8300000;10:03:13,8300000;245;40;9800
1999-05-03;PETR4.SA;13:15:14,1030000;10:15:14,1030000;270,12;10;2701,2
1999-05-04;PETR4.SA;13:14:48,4820000;10:14:48,4820000;270;10;2700
1999-05-05;PETR4.SA;13:20:16,4970000;10:20:16,4970000;261;10;2610
1999-05-06;PETR4.SA;13:08:58,0690000;10:08:58,0690000;269,99;50;13499,5
1999-05-07;PETR4.SA;13:29:13,9260000;10:29:13,9260000;271,990000000002;2;543,980000000003
1999-05-10;PETR4.SA;13:12:31,0520000;10:12:31,0520000;274,5;20;5490
1999-05-11;PETR4.SA;13:34:39,0080000;10:34:39,0080000;273;100;27300
1999-05-12;PETR4.SA;13:07:56,8990000;10:07:56,8990000;265,01;50;13250,5
1999-05-13;PETR4.SA;13:26:33,5530000;10:26:33,5530000;267,5;100;26750
1999-05-14;PETR4.SA;13:07:10,5000000;10:07:10,5000000;265,3;10;2653
1999-05-17;PETR4.SA;13:34:20,8850000;10:34:20,8850000;270,550000000003;1;270,550000000003
1999-05-18;PETR4.SA;13:22:06,9600000;10:22:06,9600000;250;3;750
1999-05-19;PETR4.SA;13:33:11,1560000;10:33:11,1560000;261,51;20;5230,2
1999-05-20;PETR4.SA;13:20:27,7850000;10:20:27,7850000;255;20;5100
1999-05-21;PETR4.SA;13:17:54,0560000;10:17:54,0560000;252;20;5040
1999-05-24;PETR4.SA;13:25:48,0920000;10:25:48,0920000;245;1;245
1999-05-25;PETR4.SA;13:35:42,6820000;10:35:42,6820000;229;20;4580
1999-05-26;PETR4.SA;13:31:39,3380000;10:31:39,3380000;230,02;10;2300,2
1999-05-27;PETR4.SA;13:05:30,8790000;10:05:30,8790000;244;2;488
1999-05-28;PETR4.SA;13:35:08,9900000;10:35:08,9900000;250;300;75000
1999-05-31;PETR4.SA;14:32:20,0920000;11:32:20,0920000;245;200;49000
1999-06-01;PETR4.SA;13:22:07,2870000;10:22:07,2870000;250,62;20;5012,4
1999-06-02;PETR4.SA;13:28:18,0910000;10:28:18,0910000;245;10;2450
1999-06-04;PETR4.SA;13:49:06,3250000;10:49:06,3250000;249;20;4980
1999-06-07;PETR4.SA;13:45:22,3840000;10:45:22,3840000;250,5;10;2505
1999-06-08;PETR4.SA;13:43:53,6490000;10:43:53,6490000;245,5;58850;14447675
1999-06-09;PETR4.SA;13:30:18,8690000;10:30:18,8690000;248;10;2480
1999-06-11;PETR4.SA;13:08:27,0040000;10:08:27,0040000;239,9;50;11995
1999-06-14;PETR4.SA;13:38:18,8690000;10:38:18,8690000;240,5;290;69745
1999-06-15;PETR4.SA;13:21:34,4450000;10:21:34,4450000;244,99;10;2449,9
1999-06-16;PETR4.SA;13:21:44,5990000;10:21:44,5990000;245;20;4900
1999-06-17;PETR4.SA;13:09:45,9880000;10:09:45,9880000;253;10;2530
1999-06-18;PETR4.SA;13:35:24,7050000;10:35:24,7050000;258;100;25800
1999-06-21;PETR4.SA;13:02:20,1950000;10:02:20,1950000;263,99;30;7919,7
1999-06-22;PETR4.SA;13:16:35,2880000;10:16:35,2880000;268;1;268
1999-06-23;PETR4.SA;13:10:46,5430000;10:10:46,5430000;276;10;2760
1999-06-24;PETR4.SA;14:04:48,1400000;11:04:48,1400000;273;50;13650
1999-06-25;PETR4.SA;13:20:29,3530000;10:20:29,3530000;268;100;26800
